rid,datetime,host,src,proto,type,spt,dpt,srcstr,cc,country,locale,latitude,longitude,Label
172.217.9.238-10.42.0.151-443-36156-6,03-04-13 21:13,groucho-oregon,1964367086,TCP,Political,6000,1433,117.21.220.238,CN,China,Jiangxi Sheng,28.55,115.9333,0
10.42.0.211-52.85.90.101-34845-443-6,03-04-13 21:14,groucho-singapore,2382653386,TCP,Hotel,6000,3389,142.4.103.202,US,United States,California,37.3887,-122.0188,1
209.10.120.26-10.42.0.211-80-43355-6,03-04-13 21:14,groucho-singapore,3736737808,TCP,Retail,54302,3389,222.186.24.16,CN,China,Jiangsu Sheng,32.0617,118.7778,0
10.42.0.211-104.192.110.245-33433-80-6,03-04-13 21:15,groucho-tokyo,1885002499,TCP,"Financial,Credit Reporting",6000,1433,112.90.219.3,CN,China,Guangdong,23.1167,113.25,0
10.42.0.42-64.71.142.95-50107-80-6,03-04-13 21:15,groucho-tokyo,3063963690,UDP,Financial,5064,5060,182.160.96.42,BD,Bangladesh,,24,90,0
172.217.10.142-10.42.0.151-443-41476-6,03-04-13 21:18,groucho-oregon,1965603898,TCP,Telecoms,41871,1433,117.40.188.58,CN,China,Jiangxi Sheng,28.55,115.9333,0
10.42.0.211-10.42.0.1-63073-53-17,03-04-13 21:19,groucho-oregon,3526571145,TCP,Political,6000,3306,210.51.52.137,CN,China,Shanghai Shi,31.0456,121.3997,0
10.42.0.211-10.42.0.1-31963-53-17,03-04-13 21:22,groucho-tokyo,1128316457,TCP,Hotel,50301,445,67.64.190.41,US,United States,,38,-97,1
10.42.0.151-52.84.26.74-45336-443-6,03-04-13 21:23,groucho-singapore,1033063061,TCP,Retail,6000,3306,61.147.74.149,CN,China,Jiangsu Sheng,32.0617,118.7778,1
10.42.0.211-23.206.125.17-38453-80-6,03-04-13 21:23,groucho-tokyo,92753634,ICMP,Media,,,5.135.78.226,FR,France,,48.86,2.35,0
10.42.0.42-52.216.80.202-51061-80-6,03-04-13 21:24,groucho-tokyo,1965603898,TCP,"Web,Tech",16510,1433,117.40.188.58,CN,China,Jiangxi Sheng,28.55,115.9333,0
172.217.12.206-10.42.0.151-443-40248-6,03-04-13 21:25,groucho-oregon,1032051418,TCP,Fashion,6000,1433,61.131.218.218,CN,China,Jiangxi Sheng,28.55,115.9333,0
10.42.0.211-10.42.0.1-3471-53-17,03-04-13 21:25,groucho-tokyo,1334391187,TCP,Question & Answer,1172,445,79.137.49.147,IT,Italy,,42.8333,12.8333,1
172.217.10.138-10.42.0.42-443-57402-6,03-04-13 21:27,groucho-sa,3188048668,TCP,Military,34455,3389,190.5.195.28,CO,Colombia,Departamento de Cordoba,8.6703,-76.2092,1
182.22.67.73-10.42.0.42-443-43979-6,03-04-13 21:27,groucho-tokyo,461047066,TCP,"Consulting,Accounting",3693,445,27.123.5.26,ID,Indonesia,,-6.1744,106.8294,1
172.217.10.141-10.42.0.151-443-46888-17,03-04-13 21:27,groucho-tokyo,461047066,TCP,"Financial,Credit Reporting",3693,445,27.123.5.26,ID,Indonesia,,-6.1744,106.8294,1
10.42.0.211-10.42.0.1-43652-53-17,03-04-13 21:27,groucho-oregon,1033806433,TCP,Financial,6000,1433,61.158.162.97,CN,China,Henan Sheng,34.6836,113.5325,1
182.22.25.124-10.42.0.211-443-54058-6,03-04-13 21:27,zeppo-norcal,3188048668,TCP,Telecoms,34455,3389,190.5.195.28,CO,Colombia,Departamento de Cordoba,8.6703,-76.2092,0
192.229.173.173-10.42.0.211-80-42803-6,03-04-13 21:26,groucho-norcal,3188048668,TCP,Political,34455,3389,190.5.195.28,CO,Colombia,Departamento de Cordoba,8.6703,-76.2092,1
220.243.219.55-10.42.0.211-80-54836-6,03-04-13 21:28,groucho-us-east,3188048668,TCP,Hotel,34455,3389,190.5.195.28,CO,Colombia,Departamento de Cordoba,8.6703,-76.2092,0
203.205.158.35-10.42.0.211-80-36556-6,03-04-13 21:28,groucho-eu,3188048668,TCP,Retail,34455,3389,190.5.195.28,CO,Colombia,Departamento de Cordoba,8.6703,-76.2092,0
172.217.10.110-10.42.0.211-443-53493-6,03-04-13 21:28,groucho-sydney,3188048668,TCP,Media,34455,3389,190.5.195.28,CO,Colombia,Departamento de Cordoba,8.6703,-76.2092,0
157.240.2.25-10.42.0.211-443-40060-6,03-04-13 21:29,groucho-norcal,2293950224,ICMP,"Web,Tech",,,136.186.231.16,AU,Australia,,-27,133,1
10.42.0.211-10.42.0.1-63308-53-17,03-04-13 21:29,groucho-norcal,2293950224,ICMP,Fashion,,,136.186.231.16,AU,Australia,,-27,133,0
10.42.0.1-10.42.0.42-53-17412-17,03-04-13 21:29,groucho-norcal,2293950224,TCP,Question & Answer,52877,80,136.186.231.16,AU,Australia,,-27,133,1
10.42.0.211-10.42.0.1-39076-53-17,03-04-13 21:31,groucho-oregon,3235001155,TCP,Military,6000,1433,192.210.51.67,US,United States,California,34.0115,-117.8535,0
10.42.0.211-10.42.0.1-1183-53-17,03-04-13 21:31,groucho-norcal,3204281314,TCP,"Consulting,Accounting",61138,445,190.253.115.226,CO,Colombia,Bogota D.C.,4.6492,-74.0628,1
10.42.0.42-119.146.74.32-33837-443-6,03-04-13 21:32,groucho-oregon,3689613553,TCP,"Financial,Credit Reporting",6000,1433,219.235.8.241,CN,China,Beijing Shi,39.9289,116.3883,0
10.42.0.211-10.42.0.1-57254-53-17,03-04-13 21:32,groucho-oregon,3323217226,TCP,Financial,6008,110,198.20.69.74,US,United States,Illinois,41.8825,-87.6441,1
10.42.0.211-10.42.0.1-64846-53-17,03-04-13 21:34,groucho-sa,1944855948,TCP,Telecoms,35742,65500,115.236.37.140,CN,China,Zhejiang Sheng,30.2936,120.1614,1
202.77.129.146-10.42.0.42-80-39938-6,03-04-13 21:33,groucho-norcal,1944855948,TCP,Political,59221,65500,115.236.37.140,CN,China,Zhejiang Sheng,30.2936,120.1614,0
10.42.0.211-23.206.125.17-34852-80-6,03-04-13 21:34,zeppo-norcal,1944855948,TCP,Hotel,41071,65500,115.236.37.140,CN,China,Zhejiang Sheng,30.2936,120.1614,1
192.229.173.173-10.42.0.151-443-52507-6,03-04-13 21:35,groucho-sydney,1944855948,TCP,Retail,3503,65500,115.236.37.140,CN,China,Zhejiang Sheng,30.2936,120.1614,0
172.217.10.46-10.42.0.151-443-47697-6,03-04-13 21:35,groucho-tokyo,3056647671,TCP,"Financial,Credit Reporting",3595,22,182.48.189.247,ID,Indonesia,,-6.1744,106.8294,0
216.58.212.131-10.42.0.151-443-48952-6,03-04-13 21:36,groucho-sydney,1915071656,UDP,Financial,59303,14415,114.37.172.168,TW,Taiwan,Taipei,25.0392,121.525,1
10.42.0.42-115.239.210.141-54882-443-6,03-04-13 21:36,groucho-sydney,1915071656,UDP,Telecoms,59303,14415,114.37.172.168,TW,Taiwan,Taipei,25.0392,121.525,1
172.217.3.98-10.42.0.211-443-34372-6,03-04-13 21:38,groucho-tokyo,2965971983,TCP,Political,1955,445,176.201.36.15,IT,Italy,,42.8333,12.8333,0
216.58.219.234-10.42.0.42-443-47241-6,03-04-13 21:38,groucho-tokyo,2965971983,TCP,Hotel,1955,445,176.201.36.15,IT,Italy,,42.8333,12.8333,1
172.217.12.163-10.42.0.42-443-42859-17,03-04-13 21:39,groucho-singapore,3702892698,TCP,Retail,6000,1433,220.181.168.154,CN,China,Beijing Shi,39.9289,116.3883,0
172.217.10.33-10.42.0.211-443-34445-6,03-04-13 21:39,groucho-singapore,1885002499,TCP,Media,6000,1433,112.90.219.3,CN,China,Guangdong,23.1167,113.25,1
10.42.0.211-23.206.173.182-55699-80-6,03-04-13 21:40,groucho-oregon,3328468787,TCP,"Web,Tech",6000,1433,198.100.103.51,US,United States,California,34.053,-118.2642,0
172.217.12.170-10.42.0.151-443-58006-6,03-04-13 21:41,groucho-sa,1017972899,TCP,Fashion,6000,8080,60.173.8.163,CN,China,Anhui Sheng,31.8639,117.2808,1
172.217.10.78-10.42.0.211-443-47017-6,03-04-13 21:40,groucho-norcal,1017972899,TCP,Question & Answer,6000,8080,60.173.8.163,CN,China,Anhui Sheng,31.8639,117.2808,0
10.42.0.211-54.192.38.236-33071-443-6,03-04-13 21:41,zeppo-norcal,1017972899,TCP,Military,6000,8080,60.173.8.163,CN,China,Anhui Sheng,31.8639,117.2808,0
202.77.129.150-10.42.0.151-80-47510-6,03-04-13 21:41,groucho-us-east,1017972899,TCP,"Consulting,Accounting",6000,8080,60.173.8.163,CN,China,Anhui Sheng,31.8639,117.2808,0
10.42.0.211-10.42.0.1-10082-53-17,03-04-13 21:41,groucho-eu,1017972899,TCP,"Financial,Credit Reporting",6000,8080,60.173.8.163,CN,China,Anhui Sheng,31.8639,117.2808,0
10.42.0.1-10.42.0.42-53-21899-17,03-04-13 21:42,groucho-sydney,1017972899,TCP,Financial,6000,8080,60.173.8.163,CN,China,Anhui Sheng,31.8639,117.2808,0
10.42.0.211-10.42.0.1-46207-53-17,03-04-13 21:45,groucho-oregon,3393619991,TCP,Telecoms,23025,3389,202.70.136.23,ID,Indonesia,,-5,120,1
172.217.12.174-10.42.0.151-443-36482-6,03-04-13 21:45,groucho-eu,3091747423,TCP,Political,38638,80,184.72.82.95,US,United States,Virginia,39.0437,-77.4875,1
10.42.0.211-10.42.0.1-37828-53-17,03-04-13 21:45,groucho-eu,3091747423,TCP,Hotel,38638,80,184.72.82.95,US,United States,Virginia,39.0437,-77.4875,0
172.217.12.170-10.42.0.42-443-45087-6,03-04-13 21:45,groucho-eu,3091747423,TCP,Retail,38638,80,184.72.82.95,US,United States,Virginia,39.0437,-77.4875,0
172.217.10.74-10.42.0.42-443-43965-6,03-04-13 21:45,groucho-eu,3091747423,TCP,Media,38638,80,184.72.82.95,US,United States,Virginia,39.0437,-77.4875,0
10.42.0.211-10.42.0.1-46653-53-17,03-04-13 21:45,groucho-eu,3091747423,TCP,"Web,Tech",45813,80,184.72.82.95,US,United States,Virginia,39.0437,-77.4875,1
10.42.0.211-10.42.0.1-23721-53-17,03-04-13 21:45,groucho-eu,3091747423,TCP,Fashion,45813,80,184.72.82.95,US,United States,Virginia,39.0437,-77.4875,1
172.217.12.202-10.42.0.42-443-53691-6,03-04-13 21:45,groucho-eu,3091747423,TCP,Question & Answer,45813,80,184.72.82.95,US,United States,Virginia,39.0437,-77.4875,1
183.79.250.123-10.42.0.151-443-44241-6,03-04-13 21:45,groucho-eu,3091747423,TCP,Military,45813,80,184.72.82.95,US,United States,Virginia,39.0437,-77.4875,1
10.42.0.211-14.29.93.254-54274-80-6,03-04-13 21:46,groucho-oregon,3689613421,TCP,"Consulting,Accounting",6000,1433,219.235.8.109,CN,China,Beijing Shi,39.9289,116.3883,1
180.163.251.231-10.42.0.211-80-33686-6,03-04-13 21:49,groucho-us-east,840107048,TCP,"Financial,Credit Reporting",52636,80,50.19.4.40,US,United States,Virginia,39.0437,-77.4875,0
10.42.0.211-10.42.0.1-56741-53-17,03-04-13 21:49,groucho-us-east,840107048,TCP,Financial,52636,80,50.19.4.40,US,United States,Virginia,39.0437,-77.4875,1
172.217.10.10-10.42.0.211-443-38144-6,03-04-13 21:49,groucho-us-east,840107048,TCP,Telecoms,52636,80,50.19.4.40,US,United States,Virginia,39.0437,-77.4875,0
169.45.248.189-10.42.0.211-5222-52303-6,03-04-13 21:49,groucho-us-east,840107048,TCP,Political,52636,80,50.19.4.40,US,United States,Virginia,39.0437,-77.4875,0
172.217.2.170-10.42.0.42-443-33884-6,03-04-13 21:49,groucho-us-east,840107048,TCP,Hotel,44765,80,50.19.4.40,US,United States,Virginia,39.0437,-77.4875,0
180.163.15.184-10.42.0.151-80-57105-6,03-04-13 21:49,groucho-us-east,840107048,TCP,Retail,44765,80,50.19.4.40,US,United States,Virginia,39.0437,-77.4875,1
192.229.173.136-10.42.0.151-443-41160-6,03-04-13 21:49,groucho-us-east,840107048,TCP,"Financial,Credit Reporting",44765,80,50.19.4.40,US,United States,Virginia,39.0437,-77.4875,0
172.217.1.174-10.42.0.42-443-49146-6,03-04-13 21:49,groucho-us-east,840107048,TCP,Financial,52636,80,50.19.4.40,US,United States,Virginia,39.0437,-77.4875,1
203.90.242.126-10.42.0.211-80-47662-6,03-04-13 21:49,groucho-us-east,840107048,TCP,Telecoms,44765,80,50.19.4.40,US,United States,Virginia,39.0437,-77.4875,0
239.255.255.250-10.42.0.1-1900-55084-17,03-04-13 21:49,groucho-us-east,840107048,TCP,Political,44765,80,50.19.4.40,US,United States,Virginia,39.0437,-77.4875,1
157.240.18.15-10.42.0.151-443-43858-6,03-04-13 21:49,groucho-tokyo,2382653386,TCP,Hotel,6000,3389,142.4.103.202,US,United States,California,37.3887,-122.0188,0
10.42.0.42-123.125.29.138-33192-80-6,03-04-13 21:49,groucho-us-east,840107048,TCP,Retail,52636,80,50.19.4.40,US,United States,Virginia,39.0437,-77.4875,1
10.42.0.151-10.42.0.1-1910-53-17,03-04-13 21:50,groucho-us-east,840107048,TCP,Media,44765,80,50.19.4.40,US,United States,Virginia,39.0437,-77.4875,1
172.217.10.46-10.42.0.42-443-33975-6,03-04-13 21:56,groucho-oregon,2027007410,TCP,"Web,Tech",6000,3306,120.209.173.178,CN,China,,35,105,0
172.217.3.100-10.42.0.151-80-39930-6,03-04-13 21:57,groucho-oregon,3323217522,TCP,Fashion,49028,1023,198.20.70.114,US,United States,Illinois,41.8825,-87.6441,1
203.205.158.52-10.42.0.211-80-44064-6,03-04-13 22:00,groucho-oregon,1896536950,TCP,Question & Answer,6000,1433,113.10.219.118,HK,Hong Kong,,22.25,114.1667,0
172.217.6.227-10.42.0.151-443-37469-6,03-04-13 22:09,groucho-singapore,1159477845,TCP,Military,95,22,69.28.58.85,US,United States,California,34.053,-118.2642,0
192.229.163.180-10.42.0.211-443-41756-6,03-04-13 22:09,groucho-tokyo,1466567810,TCP,"Consulting,Accounting",51906,3389,87.106.12.130,DE,Germany,,51,9,1
10.42.0.151-10.42.0.1-18588-53-17,03-04-13 22:17,groucho-singapore,176362647,UDP,"Financial,Credit Reporting",67,68,10.131.20.151,,,,,,1
10.42.0.151-10.42.0.1-50013-53-17,03-04-13 22:22,groucho-oregon,1032051418,TCP,Financial,6000,1433,61.131.218.218,CN,China,Jiangxi Sheng,28.55,115.9333,0
10.42.0.211-10.42.0.1-18599-53-17,03-04-13 22:23,groucho-oregon,1032188987,TCP,Telecoms,63570,3306,61.133.244.59,CN,China,Qinghai Sheng,36.6167,101.7667,1
10.42.0.151-10.42.0.1-21161-53-17,03-04-13 22:25,groucho-oregon,3231346287,TCP,Political,6000,1433,192.154.110.111,US,United States,California,34.053,-118.2642,0
10.42.0.211-52.2.11.128-47674-443-6,03-04-13 22:26,groucho-tokyo,3740020463,TCP,Hotel,6000,1433,222.236.46.239,KR,South Korea,Seoul,37.5985,126.9783,1
10.42.0.42-40.122.162.208-45554-443-6,03-04-13 22:27,groucho-singapore,3730416887,TCP,Retail,6000,1433,222.89.164.247,CN,China,Henan Sheng,34.6836,113.5325,0
172.217.10.74-10.42.0.42-443-41528-6,03-04-13 22:28,groucho-singapore,1893226524,TCP,Media,6000,1433,112.216.88.28,KR,South Korea,,37.57,126.98,1
174.35.73.93-10.42.0.151-80-43961-6,03-04-13 22:28,groucho-eu,3323217250,TCP,"Web,Tech",23709,3389,198.20.69.98,US,United States,Illinois,41.8825,-87.6441,0
172.217.10.238-10.42.0.211-80-48006-6,03-04-13 22:30,groucho-eu,619140450,TCP,Fashion,4253,25,36.231.85.98,TW,Taiwan,,23.5,121,0
10.42.0.1-10.42.0.42-53-38786-17,03-04-13 22:30,groucho-eu,619140450,TCP,Question & Answer,4253,25,36.231.85.98,TW,Taiwan,,23.5,121,0
172.217.12.163-10.42.0.42-443-39002-6,03-04-13 22:30,groucho-eu,619140450,TCP,Military,4253,25,36.231.85.98,TW,Taiwan,,23.5,121,0
10.42.0.1-10.42.0.42-53-28934-17,03-04-13 22:30,groucho-singapore,1995742143,TCP,"Consulting,Accounting",6000,3306,118.244.155.191,CN,China,Beijing Shi,39.9289,116.3883,0
203.205.158.34-10.42.0.211-80-42988-6,03-04-13 22:32,groucho-us-east,1076282687,ICMP,"Financial,Credit Reporting",,,64.38.197.63,US,United States,Arizona,33.4357,-111.9171,1
172.217.11.10-10.42.0.211-443-34550-6,03-04-13 22:32,groucho-us-east,1076282687,ICMP,Financial,,,64.38.197.63,US,United States,Arizona,33.4357,-111.9171,1
174.35.73.108-10.42.0.42-80-34826-6,03-04-13 22:32,groucho-us-east,1076282687,ICMP,Telecoms,,,64.38.197.63,US,United States,Arizona,33.4357,-111.9171,0
175.100.207.231-10.42.0.151-80-43403-6,03-04-13 22:32,groucho-us-east,1076282687,ICMP,Political,,,64.38.197.63,US,United States,Arizona,33.4357,-111.9171,0
182.22.31.124-10.42.0.151-80-53917-6,03-04-13 22:32,groucho-us-east,1076282687,TCP,Hotel,34332,443,64.38.197.63,US,United States,Arizona,33.4357,-111.9171,0
10.42.0.151-10.42.0.1-52689-53-17,03-04-13 22:32,groucho-us-east,1076282687,TCP,Retail,34333,443,64.38.197.63,US,United States,Arizona,33.4357,-111.9171,1
10.42.0.151-121.29.54.163-36790-80-6,03-04-13 22:32,groucho-singapore,1386578122,TCP,"Financial,Credit Reporting",47181,8080,82.165.128.202,DE,Germany,,51,9,1
157.240.18.15-10.42.0.211-443-41637-6,03-04-13 22:32,groucho-us-east,1076282687,TCP,Financial,34332,80,64.38.197.63,US,United States,Arizona,33.4357,-111.9171,1
183.79.215.140-10.42.0.42-443-55912-6,03-04-13 22:32,groucho-us-east,1076282687,TCP,Telecoms,34333,80,64.38.197.63,US,United States,Arizona,33.4357,-111.9171,1
10.42.0.151-31.13.71.37-48352-443-6,03-04-13 22:32,groucho-us-east,1076282687,ICMP,Political,,,64.38.197.63,US,United States,Arizona,33.4357,-111.9171,1
10.42.0.151-10.42.0.1-18587-53-17,03-04-13 22:32,groucho-us-east,1076282687,ICMP,Hotel,,,64.38.197.63,US,United States,Arizona,33.4357,-111.9171,0
10.42.0.211-36.110.213.174-37924-443-6,03-04-13 22:32,groucho-us-east,1076282687,ICMP,Retail,,,64.38.197.63,US,United States,Arizona,33.4357,-111.9171,1
10.42.0.151-10.42.0.1-23459-53-17,03-04-13 22:32,groucho-us-east,1076282687,ICMP,Media,,,64.38.197.63,US,United States,Arizona,33.4357,-111.9171,0
10.42.0.211-72.21.206.53-52547-443-6,03-04-13 22:33,groucho-sydney,3535196418,TCP,"Web,Tech",2286,3389,210.182.209.2,KR,South Korea,,37.57,126.98,0
10.42.0.1-10.42.0.42-53-33109-17,03-04-13 22:33,groucho-sydney,3535196418,TCP,Fashion,2286,3389,210.182.209.2,KR,South Korea,,37.57,126.98,0
175.100.207.233-10.42.0.42-80-54212-6,03-04-13 22:33,groucho-tokyo,3191317112,TCP,Question & Answer,2133,445,190.55.162.120,AR,Argentina,Provincia de Entre Rios,-30.9546,-58.7833,1
10.42.0.211-31.13.71.52-55712-80-6,03-04-13 22:33,groucho-tokyo,3191317112,TCP,Military,2133,445,190.55.162.120,AR,Argentina,Provincia de Entre Rios,-30.9546,-58.7833,0
10.42.0.151-10.42.0.1-57678-53-17,03-04-13 22:33,groucho-sydney,3535196418,TCP,"Consulting,Accounting",2286,3389,210.182.209.2,KR,South Korea,,37.57,126.98,1
10.42.0.42-64.71.142.95-41144-80-6,03-04-13 22:33,groucho-tokyo,3187421565,TCP,"Financial,Credit Reporting",3770,445,189.252.49.125,MX,Mexico,,19.43,-99.13,0
10.42.0.151-63.250.200.101-51744-443-6,03-04-13 22:35,groucho-tokyo,1885002499,TCP,Financial,6000,1433,112.90.219.3,CN,China,Guangdong,23.1167,113.25,1
172.217.10.78-10.42.0.151-443-51109-17,03-04-13 22:36,groucho-singapore,3651197681,TCP,Telecoms,28108,3389,217.160.218.241,DE,Germany,,51,9,0
10.42.0.42-52.84.29.154-32800-443-6,03-04-13 22:37,groucho-sa,2061828648,TCP,Political,596,3389,122.229.2.40,CN,China,Hunan,26.9689,109.7725,1
174.129.32.117-10.42.0.211-443-45982-6,03-04-13 22:37,zeppo-norcal,2061828648,TCP,Hotel,596,3389,122.229.2.40,CN,China,Hunan,26.9689,109.7725,1
10.42.0.1-10.42.0.42-53-58644-17,03-04-13 22:36,groucho-norcal,2061828648,TCP,Retail,596,3389,122.229.2.40,CN,China,Hunan,26.9689,109.7725,0
192.229.173.173-10.42.0.42-80-51420-6,03-04-13 22:37,groucho-us-east,2061828648,TCP,Media,596,3389,122.229.2.40,CN,China,Hunan,26.9689,109.7725,1
180.163.251.231-10.42.0.211-80-58941-6,03-04-13 22:37,groucho-eu,2061828648,TCP,"Web,Tech",596,3389,122.229.2.40,CN,China,Hunan,26.9689,109.7725,0
172.217.9.227-10.42.0.151-443-38466-6,03-04-13 22:38,groucho-sydney,2061828648,TCP,Fashion,596,3389,122.229.2.40,CN,China,Hunan,26.9689,109.7725,0
10.42.0.151-91.190.219.39-35226-12350-6,03-04-13 22:39,groucho-oregon,3530426106,TCP,Question & Answer,6000,3306,210.110.6.250,KR,South Korea,,37.57,126.98,1
10.42.0.211-10.42.0.1-51384-53-17,03-04-13 22:40,groucho-oregon,1965603898,TCP,Military,58489,1433,117.40.188.58,CN,China,Jiangxi Sheng,28.55,115.9333,1
10.42.0.211-123.125.29.220-37882-80-6,03-04-13 22:45,groucho-tokyo,1965603898,TCP,"Consulting,Accounting",40379,1433,117.40.188.58,CN,China,Jiangxi Sheng,28.55,115.9333,0
10.42.0.211-103.235.46.39-60356-80-6,03-04-13 22:46,groucho-oregon,3735675058,TCP,"Financial,Credit Reporting",11776,7778,222.169.224.178,CN,China,Jilin Sheng,43.88,125.3228,1
239.255.255.250-10.42.0.42-1900-46060-17,03-04-13 22:47,groucho-sa,3526571145,TCP,Financial,6000,3306,210.51.52.137,CN,China,Shanghai Shi,31.0456,121.3997,0
216.58.217.67-10.42.0.211-443-54011-6,03-04-13 22:46,groucho-norcal,3526571145,TCP,Telecoms,6000,3306,210.51.52.137,CN,China,Shanghai Shi,31.0456,121.3997,1
10.42.0.211-103.235.46.39-54447-80-6,03-04-13 22:47,zeppo-norcal,3526571145,TCP,Political,6000,3306,210.51.52.137,CN,China,Shanghai Shi,31.0456,121.3997,0
172.217.10.42-10.42.0.151-443-39055-6,03-04-13 22:48,groucho-us-east,3526571145,TCP,Hotel,6000,3306,210.51.52.137,CN,China,Shanghai Shi,31.0456,121.3997,1
10.42.0.211-119.146.74.33-47224-443-6,03-04-13 22:48,groucho-singapore,1427737230,UDP,Retail,5072,5060,85.25.138.142,DE,Germany,,51,9,0
172.217.12.202-10.42.0.151-443-56309-6,03-04-13 22:48,groucho-eu,3526571145,TCP,"Financial,Credit Reporting",6000,3306,210.51.52.137,CN,China,Shanghai Shi,31.0456,121.3997,0
183.79.250.123-10.42.0.211-443-60644-6,03-04-13 22:48,groucho-sydney,3526571145,TCP,Financial,6000,3306,210.51.52.137,CN,China,Shanghai Shi,31.0456,121.3997,0
10.42.0.42-52.94.232.32-46708-443-6,03-04-13 22:51,groucho-tokyo,1652482834,TCP,Telecoms,6000,3306,98.126.227.18,US,United States,California,33.8138,-117.7986,0
10.42.0.1-10.42.0.42-53-41543-17,03-04-13 22:53,zeppo-norcal,3728452742,ICMP,Political,,,222.59.172.134,CN,China,Beijing Shi,39.9289,116.3883,0
10.42.0.211-121.12.98.64-51589-80-6,03-04-13 22:53,zeppo-norcal,3728452754,ICMP,Hotel,,,222.59.172.146,CN,China,Beijing Shi,39.9289,116.3883,1
172.217.6.206-10.42.0.211-443-48632-6,03-04-13 22:53,zeppo-norcal,1035074185,ICMP,Retail,,,61.177.250.137,CN,China,Jiangsu Sheng,32.0617,118.7778,1
202.77.129.150-10.42.0.211-80-35147-6,03-04-13 22:53,zeppo-norcal,3728452742,TCP,Media,16311,4899,222.59.172.134,CN,China,Beijing Shi,39.9289,116.3883,0
172.217.6.206-10.42.0.211-443-34659-6,03-04-13 22:53,zeppo-norcal,2053167241,ICMP,"Web,Tech",,,122.96.216.137,CN,China,Jiangsu Sheng,32.0617,118.7778,0
172.217.10.234-10.42.0.211-443-53425-6,03-04-13 22:53,zeppo-norcal,3728452742,TCP,Fashion,16311,4899,222.59.172.134,CN,China,Beijing Shi,39.9289,116.3883,0
10.42.0.211-54.239.17.113-34121-443-6,03-04-13 22:53,zeppo-norcal,3728452742,TCP,Question & Answer,23784,4899,222.59.172.134,CN,China,Beijing Shi,39.9289,116.3883,1
10.42.0.211-10.42.0.1-41704-53-17,03-04-13 22:54,groucho-oregon,989179187,TCP,Military,6000,1433,58.245.173.51,CN,China,Jilin Sheng,43.88,125.3228,1
10.42.0.211-52.84.37.172-55001-443-6,03-04-13 22:55,groucho-oregon,3416049089,TCP,"Consulting,Accounting",14811,1433,203.156.197.193,CN,China,,35,105,1
10.42.0.211-106.11.92.14-37856-443-6,03-04-13 22:56,groucho-oregon,2075647033,TCP,"Financial,Credit Reporting",6000,3306,123.183.220.57,CN,China,Hebei,39.8897,115.275,1
10.42.0.211-74.217.63.57-59321-443-6,03-04-13 23:00,groucho-sydney,1500017559,ICMP,Financial,,,89.104.115.151,RU,Russia,,60,100,1
203.130.53.126-10.42.0.211-80-58397-6,03-04-13 23:00,groucho-sydney,1500017559,ICMP,Telecoms,,,89.104.115.151,RU,Russia,,60,100,0
172.217.3.99-10.42.0.42-443-49859-6,03-04-13 23:00,groucho-norcal,3530426106,TCP,Political,6000,3306,210.110.6.250,KR,South Korea,,37.57,126.98,1
10.42.0.1-10.42.0.42-53-43631-17,03-04-13 23:01,zeppo-norcal,3530426106,TCP,Hotel,6000,3306,210.110.6.250,KR,South Korea,,37.57,126.98,0
172.217.7.10-10.42.0.211-443-34940-6,03-04-13 23:01,groucho-us-east,3530426106,TCP,Retail,6000,3306,210.110.6.250,KR,South Korea,,37.57,126.98,0
10.42.0.1-10.42.0.42-53-44215-17,03-04-13 23:02,groucho-eu,3530426106,TCP,Media,6000,3306,210.110.6.250,KR,South Korea,,37.57,126.98,0
172.217.6.238-10.42.0.42-443-60708-6,03-04-13 23:02,groucho-tokyo,1885002499,TCP,"Web,Tech",6000,1433,112.90.219.3,CN,China,Guangdong,23.1167,113.25,1
203.205.158.54-10.42.0.42-80-50946-6,03-04-13 23:02,groucho-sydney,3530426106,TCP,Fashion,6000,3306,210.110.6.250,KR,South Korea,,37.57,126.98,0
10.42.0.151-123.125.29.138-42813-80-6,03-04-13 23:02,groucho-tokyo,3231567626,UDP,Question & Answer,5749,5060,192.157.207.10,US,United States,Nevada,36.0312,-115.0739,1
10.42.0.211-10.42.0.1-8337-53-17,03-04-13 23:05,groucho-oregon,3147970215,UDP,Military,5061,5060,187.162.54.167,MX,Mexico,The Federal District,19.4342,-99.1386,0
10.42.0.42-123.125.115.164-53657-443-6,03-04-13 23:04,groucho-singapore,3394623162,TCP,"Consulting,Accounting",61027,1433,202.85.214.186,CN,China,,35,105,1
202.77.129.150-10.42.0.151-80-51639-6,03-04-13 23:05,groucho-oregon,1033806433,TCP,"Financial,Credit Reporting",6000,1433,61.158.162.97,CN,China,Henan Sheng,34.6836,113.5325,0
10.42.0.211-10.42.0.1-57800-53-17,03-04-13 23:07,groucho-singapore,3651143646,TCP,Financial,64910,3389,217.160.7.222,DE,Germany,,51,9,1
10.42.0.211-23.21.246.117-56963-443-6,03-04-13 23:08,groucho-oregon,3335316250,TCP,Telecoms,4172,445,198.204.227.26,US,United States,Missouri,39.1472,-94.5735,1
10.42.0.151-64.71.142.124-41140-80-6,03-04-13 23:08,groucho-oregon,3335316250,TCP,Political,4172,445,198.204.227.26,US,United States,Missouri,39.1472,-94.5735,0
